,index,B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_010E,B03002_011E,B03002_012E,B03002_013E,B03002_014E,B03002_015E,B03002_016E,B03002_017E,B03002_018E,B03002_019E,B03002_020E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E
1125,"Census Tract 3805, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:380500",800,252,12,29,20,38,13,24,0,23,800,796,0,793,0,3,0,0,0,0,0,4,4,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,5,6,0,0,26,40,14,132,25,25,70,10,37,5,0,0
1126,"Census Tract 3814, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:381400",1660,683,0,91,95,47,17,0,29,0,1660,1660,0,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978,7,0,0,0,0,0,0,0,0,0,0,21,12,34,34,169,32,37,253,189,108,82,0,0
1127,"Census Tract 3818, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:381800",1034,508,11,15,47,15,25,25,0,0,1034,1033,44,977,6,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,773,6,9,0,0,0,0,0,0,0,0,15,0,8,44,17,150,33,52,174,52,102,99,1,11
1128,"Census Tract 3905, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:390500",1462,731,20,88,11,27,18,3,7,53,1462,1400,282,1009,0,94,0,0,15,0,15,62,18,33,0,0,0,11,0,0,1027,7,0,0,0,0,0,0,0,0,0,0,0,0,5,29,72,16,16,143,53,283,232,79,92
1129,"Census Tract 8222, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:822200",4060,2138,132,165,165,125,26,33,48,92,4060,3057,2962,85,0,10,0,0,0,0,0,1003,448,0,0,0,0,531,24,24,2752,18,0,0,0,0,0,0,0,29,0,15,0,9,41,31,1006,79,168,399,268,496,155,28,10
1130,"Census Tract 8225, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:822500",4369,2302,172,165,222,79,45,98,5,43,4369,3821,3347,247,0,42,0,0,185,0,185,548,515,0,1,0,0,5,27,27,3026,81,0,0,0,0,0,0,0,0,0,41,43,166,10,110,566,89,262,593,305,433,217,92,18
1131,"Census Tract 8228.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:822801",3113,1651,130,68,57,73,0,26,0,41,3113,2518,2088,134,0,140,0,0,156,0,156,595,247,0,0,0,0,219,129,105,2298,0,0,0,0,0,8,6,0,0,0,24,29,0,0,34,584,37,131,343,285,476,259,60,22
1132,"Census Tract 8232, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:823200",4626,2203,150,108,129,93,59,30,37,132,4626,3660,3411,193,0,46,0,0,10,0,10,966,934,0,8,0,0,24,0,0,3178,8,0,0,0,0,14,6,0,39,0,6,0,12,39,61,887,182,271,691,310,411,195,19,27
1133,"Census Tract 8236.03, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:823603",2307,1167,39,79,128,108,33,69,27,14,2307,1170,110,1021,0,0,0,0,39,0,39,1137,465,0,56,0,0,588,28,28,1348,24,0,0,0,48,0,6,0,64,6,43,61,86,24,6,289,74,27,253,106,163,68,0,0
1134,"Census Tract 8237.05, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:823705",4962,2559,176,116,159,140,82,83,32,38,4962,4224,3800,322,0,0,8,0,94,0,94,738,605,0,0,0,6,127,0,0,3417,63,0,0,0,0,0,0,0,50,20,27,47,39,47,107,1026,117,264,579,232,584,180,24,11
