,GEOID,total_pop,medhhinc,year,share_BA+,a35to64_share
476,17031151001,2538,40526,2010-14,13.7,38.800000000000004
477,17031151002,4685,45276,2010-14,12.4,37.699999999999996
478,17031151100,5391,45052,2010-14,12.3,40.0
479,17031151200,3680,54808,2010-14,16.1,43.2
480,17031160100,2626,53333,2010-14,20.2,44.6
481,17031160200,3822,54360,2010-14,38.6,46.0
482,17031160300,3877,40367,2010-14,31.9,40.9
483,17031160400,5090,37716,2010-14,27.4,40.5
484,17031160501,4498,44531,2010-14,28.0,30.4
485,17031160502,4568,56750,2010-14,24.4,36.3
486,17031160601,3999,52479,2010-14,31.2,33.9
487,17031160602,3983,43380,2010-14,31.0,36.900000000000006
488,17031160700,6008,52154,2010-14,37.4,40.2
489,17031160800,5388,55256,2010-14,29.4,41.9
490,17031160900,2272,66786,2010-14,41.3,51.2
491,17031161000,1726,52778,2010-14,39.4,43.5
492,17031161100,2026,84542,2010-14,53.5,46.3
493,17031161200,2664,47266,2010-14,25.7,42.8
494,17031161300,3943,40463,2010-14,16.3,40.699999999999996
495,17031170100,1871,38824,2010-14,32.5,36.5
496,17031170200,4366,70813,2010-14,15.5,43.699999999999996
497,17031170300,4918,57688,2010-14,26.3,40.199999999999996
498,17031170400,3720,54038,2010-14,19.7,43.6
499,17031170500,4888,74402,2010-14,22.7,44.2
500,17031170600,2774,53512,2010-14,23.5,37.300000000000004
501,17031170700,2831,51585,2010-14,21.7,43.599999999999994
502,17031170800,3750,59315,2010-14,18.4,45.6
503,17031170900,1729,69231,2010-14,12.5,49.800000000000004
504,17031171000,7949,60154,2010-14,18.5,42.9
505,17031171100,4257,64911,2010-14,15.9,36.2
506,17031180100,5918,43797,2010-14,13.9,38.9
